site_id,sector_id,cell_id,site_x,site_y,site_z,x,y,altitude_m,azimuth_deg,net_type,frequency_ghz,tx_power_dbm,city
111,2,1035,866.025390625,500.0,10.0,866.025390625,500.0,10.0,240.0,LTE,2.1,46.0,HexCity
112,0,1036,866.025390625,0.0,10.0,866.025390625,0.0,10.0,0.0,5G NR,3.5,43.0,HexCity
112,1,1037,866.025390625,0.0,10.0,866.025390625,0.0,10.0,120.0,5G NR,3.5,43.0,HexCity
112,2,1038,866.025390625,0.0,10.0,866.025390625,0.0,10.0,240.0,5G NR,3.5,43.0,HexCity
113,0,1039,866.025390625,-500.0,10.0,866.025390625,-500.0,10.0,0.0,LTE,2.1,46.0,HexCity
113,1,1040,866.025390625,-500.0,10.0,866.025390625,-500.0,10.0,120.0,LTE,2.1,46.0,HexCity
113,2,1041,866.025390625,-500.0,10.0,866.025390625,-500.0,10.0,240.0,LTE,2.1,46.0,HexCity
114,0,1042,433.0126953125,-750.0,10.0,433.0126953125,-750.0,10.0,0.0,5G NR,3.5,43.0,HexCity
114,1,1043,433.0126953125,-750.0,10.0,433.0126953125,-750.0,10.0,120.0,5G NR,3.5,43.0,HexCity
114,2,1044,433.0126953125,-750.0,10.0,433.0126953125,-750.0,10.0,240.0,5G NR,3.5,43.0,HexCity
115,0,1045,0.0,-1000.0,10.0,0.0,-1000.0,10.0,0.0,LTE,2.1,46.0,HexCity
115,1,1046,0.0,-1000.0,10.0,0.0,-1000.0,10.0,120.0,LTE,2.1,46.0,HexCity
115,2,1047,0.0,-1000.0,10.0,0.0,-1000.0,10.0,240.0,LTE,2.1,46.0,HexCity
116,0,1048,-433.0126953125,-750.0,10.0,-433.0126953125,-750.0,10.0,0.0,5G NR,3.5,43.0,HexCity
116,1,1049,-433.0126953125,-750.0,10.0,-433.0126953125,-750.0,10.0,120.0,5G NR,3.5,43.0,HexCity
116,2,1050,-433.0126953125,-750.0,10.0,-433.0126953125,-750.0,10.0,240.0,5G NR,3.5,43.0,HexCity
117,0,1051,-866.025390625,-500.0,10.0,-866.025390625,-500.0,10.0,0.0,LTE,2.1,46.0,HexCity
117,1,1052,-866.025390625,-500.0,10.0,-866.025390625,-500.0,10.0,120.0,LTE,2.1,46.0,HexCity
117,2,1053,-866.025390625,-500.0,10.0,-866.025390625,-500.0,10.0,240.0,LTE,2.1,46.0,HexCity
118,0,1054,-866.025390625,0.0,10.0,-866.025390625,0.0,10.0,0.0,5G NR,3.5,43.0,HexCity
118,1,1055,-866.025390625,0.0,10.0,-866.025390625,0.0,10.0,120.0,5G NR,3.5,43.0,HexCity
118,2,1056,-866.025390625,0.0,10.0,-866.025390625,0.0,10.0,240.0,5G NR,3.5,43.0,HexCity
119,0,1057,-1299.0380859375,750.0,10.0,-1299.0380859375,750.0,10.0,0.0,LTE,2.1,46.0,HexCity
119,1,1058,-1299.0380859375,750.0,10.0,-1299.0380859375,750.0,10.0,120.0,LTE,2.1,46.0,HexCity
119,2,1059,-1299.0380859375,750.0,10.0,-1299.0380859375,750.0,10.0,240.0,LTE,2.1,46.0,HexCity
120,0,1060,-866.025390625,1000.0,10.0,-866.025390625,1000.0,10.0,0.0,5G NR,3.5,43.0,HexCity
120,1,1061,-866.025390625,1000.0,10.0,-866.025390625,1000.0,10.0,120.0,5G NR,3.5,43.0,HexCity
120,2,1062,-866.025390625,1000.0,10.0,-866.025390625,1000.0,10.0,240.0,5G NR,3.5,43.0,HexCity
121,0,1063,-433.0126953125,1250.0,10.0,-433.0126953125,1250.0,10.0,0.0,LTE,2.1,46.0,HexCity
121,1,1064,-433.0126953125,1250.0,10.0,-433.0126953125,1250.0,10.0,120.0,LTE,2.1,46.0,HexCity
121,2,1065,-433.0126953125,1250.0,10.0,-433.0126953125,1250.0,10.0,240.0,LTE,2.1,46.0,HexCity
122,0,1066,0.0,1500.0,10.0,0.0,1500.0,10.0,0.0,5G NR,3.5,43.0,HexCity
122,1,1067,0.0,1500.0,10.0,0.0,1500.0,10.0,120.0,5G NR,3.5,43.0,HexCity
122,2,1068,0.0,1500.0,10.0,0.0,1500.0,10.0,240.0,5G NR,3.5,43.0,HexCity
123,0,1069,433.0126953125,1250.0,10.0,433.0126953125,1250.0,10.0,0.0,LTE,2.1,46.0,HexCity
123,1,1070,433.0126953125,1250.0,10.0,433.0126953125,1250.0,10.0,120.0,LTE,2.1,46.0,HexCity
123,2,1071,433.0126953125,1250.0,10.0,433.0126953125,1250.0,10.0,240.0,LTE,2.1,46.0,HexCity
124,0,1072,866.025390625,1000.0,10.0,866.025390625,1000.0,10.0,0.0,5G NR,3.5,43.0,HexCity
124,1,1073,866.025390625,1000.0,10.0,866.025390625,1000.0,10.0,120.0,5G NR,3.5,43.0,HexCity
124,2,1074,866.025390625,1000.0,10.0,866.025390625,1000.0,10.0,240.0,5G NR,3.5,43.0,HexCity
125,0,1075,1299.0380859375,750.0,10.0,1299.0380859375,750.0,10.0,0.0,LTE,2.1,46.0,HexCity
125,1,1076,1299.0380859375,750.0,10.0,1299.0380859375,750.0,10.0,120.0,LTE,2.1,46.0,HexCity
125,2,1077,1299.0380859375,750.0,10.0,1299.0380859375,750.0,10.0,240.0,LTE,2.1,46.0,HexCity
126,0,1078,1299.0380859375,250.0,10.0,1299.0380859375,250.0,10.0,0.0,5G NR,3.5,43.0,HexCity
126,1,1079,1299.0380859375,250.0,10.0,1299.0380859375,250.0,10.0,120.0,5G NR,3.5,43.0,HexCity
126,2,1080,1299.0380859375,250.0,10.0,1299.0380859375,250.0,10.0,240.0,5G NR,3.5,43.0,HexCity
127,0,1081,1299.0380859375,-250.0,10.0,1299.0380859375,-250.0,10.0,0.0,LTE,2.1,46.0,HexCity
127,1,1082,1299.0380859375,-250.0,10.0,1299.0380859375,-250.0,10.0,120.0,LTE,2.1,46.0,HexCity
127,2,1083,1299.0380859375,-250.0,10.0,1299.0380859375,-250.0,10.0,240.0,LTE,2.1,46.0,HexCity
128,0,1084,1299.0380859375,-750.0,10.0,1299.0380859375,-750.0,10.0,0.0,5G NR,3.5,43.0,HexCity
128,1,1085,1299.0380859375,-750.0,10.0,1299.0380859375,-750.0,10.0,120.0,5G NR,3.5,43.0,HexCity
128,2,1086,1299.0380859375,-750.0,10.0,1299.0380859375,-750.0,10.0,240.0,5G NR,3.5,43.0,HexCity
129,0,1087,866.025390625,-1000.0,10.0,866.025390625,-1000.0,10.0,0.0,LTE,2.1,46.0,HexCity
129,1,1088,866.025390625,-1000.0,10.0,866.025390625,-1000.0,10.0,120.0,LTE,2.1,46.0,HexCity
129,2,1089,866.025390625,-1000.0,10.0,866.025390625,-1000.0,10.0,240.0,LTE,2.1,46.0,HexCity
130,0,1090,433.0126953125,-1250.0,10.0,433.0126953125,-1250.0,10.0,0.0,5G NR,3.5,43.0,HexCity
130,1,1091,433.0126953125,-1250.0,10.0,433.0126953125,-1250.0,10.0,120.0,5G NR,3.5,43.0,HexCity
130,2,1092,433.0126953125,-1250.0,10.0,433.0126953125,-1250.0,10.0,240.0,5G NR,3.5,43.0,HexCity
131,0,1093,0.0,-1500.0,10.0,0.0,-1500.0,10.0,0.0,LTE,2.1,46.0,HexCity
131,1,1094,0.0,-1500.0,10.0,0.0,-1500.0,10.0,120.0,LTE,2.1,46.0,HexCity
131,2,1095,0.0,-1500.0,10.0,0.0,-1500.0,10.0,240.0,LTE,2.1,46.0,HexCity
132,0,1096,-433.0126953125,-1250.0,10.0,-433.0126953125,-1250.0,10.0,0.0,5G NR,3.5,43.0,HexCity
132,1,1097,-433.0126953125,-1250.0,10.0,-433.0126953125,-1250.0,10.0,120.0,5G NR,3.5,43.0,HexCity
132,2,1098,-433.0126953125,-1250.0,10.0,-433.0126953125,-1250.0,10.0,240.0,5G NR,3.5,43.0,HexCity
133,0,1099,-866.025390625,-1000.0,10.0,-866.025390625,-1000.0,10.0,0.0,LTE,2.1,46.0,HexCity
133,1,1100,-866.025390625,-1000.0,10.0,-866.025390625,-1000.0,10.0,120.0,LTE,2.1,46.0,HexCity
133,2,1101,-866.025390625,-1000.0,10.0,-866.025390625,-1000.0,10.0,240.0,LTE,2.1,46.0,HexCity
134,0,1102,-1299.0380859375,-750.0,10.0,-1299.0380859375,-750.0,10.0,0.0,5G NR,3.5,43.0,HexCity
134,1,1103,-1299.0380859375,-750.0,10.0,-1299.0380859375,-750.0,10.0,120.0,5G NR,3.5,43.0,HexCity
134,2,1104,-1299.0380859375,-750.0,10.0,-1299.0380859375,-750.0,10.0,240.0,5G NR,3.5,43.0,HexCity
135,0,1105,-1299.0380859375,-250.0,10.0,-1299.0380859375,-250.0,10.0,0.0,LTE,2.1,46.0,HexCity
135,1,1106,-1299.0380859375,-250.0,10.0,-1299.0380859375,-250.0,10.0,120.0,LTE,2.1,46.0,HexCity
135,2,1107,-1299.0380859375,-250.0,10.0,-1299.0380859375,-250.0,10.0,240.0,LTE,2.1,46.0,HexCity
136,0,1108,-1299.0380859375,250.0,10.0,-1299.0380859375,250.0,10.0,0.0,5G NR,3.5,43.0,HexCity
136,1,1109,-1299.0380859375,250.0,10.0,-1299.0380859375,250.0,10.0,120.0,5G NR,3.5,43.0,HexCity
136,2,1110,-1299.0380859375,250.0,10.0,-1299.0380859375,250.0,10.0,240.0,5G NR,3.5,43.0,HexCity
